"","Player","Eff","Vol","allstar"
"38","Scott Brooks",0.582844172308531,-1.01632074741525,0
"39","Chucky Brown",0.209611735151639,-1.04298841997147,0
"40","Dee Brown",0.132514254151037,0.353713800323633,0
"41","Mike Brown",0.0234455294466303,-0.976321296482198,0
"42","Tony Brown",-0.818212749183186,-2.55183368601673,0
"43","Mark Bryant",0.166819174926343,-1.0701755445846,0
"44","Jud Buechler",-0.998665574311875,-1.78666975988862,0
"45","Matt Bullard",-0.180520002337006,-2.58738327793288,0
"46","Willie Burton",-0.911054244424764,-0.0740551073638002,0
"47","Greg Butler",-1.95286258243983,-3.1153857459177,0
"48","Michael Cage",-0.32785071014335,0.855196700941932,0
"49","Adrian Caldwell",-1.39306167806726,-2.16894546117127,0
"50","Rick Calloway",-1.06399572712039,-2.48699499280572,0
"51","Elden Campbell",-0.506527048555472,-1.79824871672736,0
"52","Tony Campbell",-1.3677744479964,2.13228509783963,0
"53","Antoine Carr",0.842264538185167,2.21017153628223,0
"54","Joe Barry Carroll",-0.69650171989625,-2.13856937647818,0
"55","Bill Cartwright",-0.342903297647578,0.431247276302513,0
"56","Terry Catledge",-1.37929795584506,0.0767978380946617,0
"57","Duane Causwell",-0.184556349329254,0.399772444090101,0
"58","Cedric Ceballos",-0.454305722993526,-1.4181407535221,0
"59","Tom Chambers",-0.514434725891844,2.32435589005256,1
"60","Rex Chapman",0.339063857318536,0.715444434318383,0
"61","Maurice Cheeks",0.874918320605589,1.53570343443666,0
"62","Derrick Chievous",-1.32124163044862,-2.86219986662224,0
"63","Richard Coffey",-1.48988404378583,-2.72046548973133,0
"64","Derrick Coleman",-0.418278944304712,3.20424584182637,0
"65","Bimbo Coles",-1.20505033568265,-1.12255487265773,0
"66","Steve Colter",-0.194541130870756,-1.83048320638551,0
"67","Lester Conner",0.142261837661836,-0.842208541750529,0
"68","Anthony Cook",-1.6177339389818,-0.993948556601755,0
"69","Wayne Cooper",-1.00770698401447,-1.63581858336353,0
"70","Tyrone Corbin",-0.852992815414799,3.35089133612911,0
"71","Dave Corzine",-0.00182236840933681,-2.41173892987456,0
"72","Pat Cummings",2.62209441088745,-2.34697645107418,0
"73","Terry Cummings",-0.741626628436249,2.42076831883654,0
"74","Earl Cureton",-1.98589255104256,-2.5894212191779,0
"75","Dell Curry",0.431761837986724,0.0395591071082468,0
"76","Quintin Dailey",-0.480420697243061,-2.24186583370999,0
"77","Adrian Dantley",-0.296891783013417,-1.89844720618115,0
"78","Brad Daugherty",1.54183915223574,4.45325831837972,1
"79","Brad Davis",-0.293214935021768,-1.16122506434509,0
"80","Terry Davis",-0.461740459002852,-0.813942152329247,0
"81","Walter Davis",-0.212045308053037,-0.214479249705479,0
"82","Johnny Dawkins",2.09100723105195,2.69478623391331,0
"83","Tony Dawson",0.275440717852334,-3.01053041963042,0
"84","Byron Dinkins",-0.532892963164178,-2.6166055876428,0
"85","Vlade Divac",1.42531308979123,3.28222287388659,0
"86","James Donaldson",0.649873117954353,1.17962106332391,0
"87","Sherman Douglas",0.0368938677273327,2.84432417534273,0
"88","Greg Dreiling",-0.112618825151768,-1.60627474433101,0
"89","Larry Drew",0.0523774918300055,-2.07588836384675,0
"90","Clyde Drexler",1.61114554654865,5.72296032461789,1
"91","Kevin Duckworth",-0.224576158537651,1.06895364344929,1
"92","Chris Dudley",-2.2630719841278,0.889161823221705,0
"93","Joe Dumars",1.72371319857366,3.58784800282336,1
"94","T.R. Dunn",0.0741907557163932,-1.77503142233491,0
"95","Ledell Eackles",-0.894668667462823,-0.665917402875224,0
"96","Mark Eaton",0.686720203616129,1.62496448701251,0
"97","Blue Edwards",0.300463634214589,-0.0676465138594097,0
"98","James Edwards",-0.220061143305943,0.0716938479205168,0
"99","Kevin Edwards",-1.61900377428165,0.58199063575776,0
"100","Craig Ehlo",-0.52593179486922,1.30789428427153,0
"101","Mario Elie",1.08213551397292,-0.674682508058169,0
"102","Sean Elliott",1.24369327288809,2.83807488086695,0
"103","Dale Ellis",0.554952754132118,0.768084382790852,0
"104","Pervis Ellison",-0.230075848366337,1.55392025673954,0
