"","Player","Eff","Vol","allstar","Yr","x3PAVG","x2PAVG","xFTAVG","PTS","TRB","AST","STL","BLK","ASTtTOV","SPBtPFR","PER","WS","OWS","DWS","TS","FTr"
"27","Don Chaney",-0.975579265587737,-2.16694843611779,0,1970,0,12.4010768364532,50.7464568623197,18.7545339456625,20.8777978127823,21.7719139234127,0,0,0,0,15.6153435968916,12.1129027857357,12.7871762740184,21.4770258980785,26.1707602339181,45.9973684210526
"28","Len Chappell",0.194231166857408,-1.08704197779731,0,1970,0,52.3786210099656,19.3060307548986,36.6598942860254,33.3827630917414,14.9182742116394,0,0,0,0,32.2494281116415,37.3700217365602,44.1038011695906,26.0486549707602,53.5625730994152,56.9921052631579
"29","Archie Clark",1.18573265368851,2.57658937437492,0,1970,0,75.8778561274034,69.9889103139439,73.1261982732202,36.4835542854119,72.4816555786734,0,0,0,0,67.5711377635729,74.8332241957928,74.8162896275777,57.3625730994152,69.4052631578947,43.1581871345029
"30","Barry Clemens",-0.347147291847454,-1.06808229195581,0,1970,0,43.863139270213,59.1098398671764,37.6430938647437,37.3147452690201,28.9255678521302,0,0,0,0,35.0477042267262,31.7343459338221,40.4183535762483,16.9419703103914,49.6538011695907,21.3991228070175
"31","Mel Counts",-1.17045156534749,0.408627587048728,0,1970,0,11.5024577793105,59.4484468782709,52.4215636696927,64.7054413308283,38.6231766173201,0,0,0,0,51.9881954332757,41.36813001919,18.2707927225471,64.0233918128655,35.7230994152047,16.3327485380117
"32","Bob Cousy",3.25663338701882,-2.58904505688954,0,1970,0,47.9657060118531,46.8569052261467,2.02178247698067,3.98602085908587,27.1417929890612,0,0,0,0,2.66838724796061,24.6664483915855,29.1301169590643,2.92397660818713,78.3652046783626,100
"33","Freddie Crawford",0.0616925956770546,-0.704638077042597,0,1970,0,59.5264899451669,28.0132228625502,32.683727771599,20.2303200755213,51.1313389289809,0,0,0,0,36.1654879742817,42.5940670517899,47.298644338118,30.1695146958305,59.3257309941521,32.4362573099415
"34","Billy Cunningham",0.70627284698319,4.87704991942931,1,1970,0,62.5981209780574,33.7208575910295,90.6517311838215,84.2713873673626,67.4271289089814,0,0,0,0,90.4965256618794,81.3175225374074,73.4446068875893,79.3684210526316,62.7497076023392,58.4616959064328
"35","Dick Cunningham",-1.31038513968158,-2.48348483402708,0,1970,0,30.0339313743219,38.4714202361222,7.1662627045454,22.444497367098,6.94819038812257,0,0,0,0,11.2336817273666,15.356561439888,16.5752923976608,13.2719298245614,23.4663742690059,21.0567251461988
"36","Bob Dandridge",0.476016872457361,1.55762139745717,0,1970,0,65.7408159760719,55.0923977367436,54.7342221907045,60.7146322316601,60.1437300751472,0,0,0,0,62.4278393703395,62.1464019474988,59.7993827160494,57.8479532163743,63.5345029239766,33.1710526315789
"37","Jim Davis",0.28784696939549,1.12624964896767,0,1970,0,54.4967498796025,57.0337079113171,56.3115413698414,70.5067537696096,50.7311142310776,0,0,0,0,63.5281593937653,51.3563611325726,55.5617957495364,38.3881044073599,59.6681286549708,44.3353801169591
"38","Mike Davis",-0.0460481239876915,-0.641566519896683,0,1970,0,35.4522700429942,58.7323691808479,49.8450136818877,18.7786585619403,39.245495082264,0,0,0,0,24.1234322021871,45.4909142997463,46.9272138680033,39.9340016708438,51.2657894736842,42.1309941520468
