"","stat","loading","year"
"396","BLK",0.230094502541656,1976
"397","PER",0.383136101719345,1976
"398","WS",0.385615851316273,1976
"399","OWS",0.339024885466128,1976
"400","DWS",0.352076087620529,1976
"401","x3PAVG",0,1977
"402","x2PAVG",0.232155597587273,1977
"403","xFTAVG",0.221567908253343,1977
"404","ASTtTOV",3.88578058618805e-16,1977
"405","SPBtPFR",0.651286404330326,1977
"406","TS",0.415908791338296,1977
"407","FTr",0.547592309444834,1977
"408","PTS",0.371577954116862,1977
"409","TRB",0.314447298759865,1977
"410","AST",0.261744925471526,1977
"411","STL",0.296172903853136,1977
"412","BLK",0.237272225222758,1977
"413","PER",0.387546524566823,1977
"414","WS",0.394522572398289,1977
"415","OWS",0.34432724363697,1977
"416","DWS",0.355139686492062,1977
"417","x3PAVG",0,1978
"418","x2PAVG",0.515865366959628,1978
"419","xFTAVG",0.248758375790259,1978
"420","ASTtTOV",0.0574739399892531,1978
"421","SPBtPFR",0.298735931161085,1978
"422","TS",0.64906917456567,1978
"423","FTr",0.397699622742932,1978
"424","PTS",0.375475954202225,1978
"425","TRB",0.312971914750974,1978
"426","AST",0.253015318325056,1978
"427","STL",0.294498072501575,1978
"428","BLK",0.237355813035606,1978
"429","PER",0.389676872907574,1978
"430","WS",0.395870439990039,1978
"431","OWS",0.348829588319274,1978
"432","DWS",0.351765814389411,1978
"433","x3PAVG",0,1979
"434","x2PAVG",0.547251596583632,1979
"435","xFTAVG",0.139683100442721,1979
"436","ASTtTOV",0.0336793280699821,1979
"437","SPBtPFR",0.174154279175402,1979
"438","TS",0.658247880948979,1979
"439","FTr",0.46502692246708,1979
"440","PTS",0.376064811014594,1979
"441","TRB",0.308643382183804,1979
"442","AST",0.249977548609521,1979
"443","STL",0.284643026689745,1979
"444","BLK",0.235965905045603,1979
"445","PER",0.397754292705571,1979
"446","WS",0.397477526184573,1979
"447","OWS",0.352574664157054,1979
"448","DWS",0.351594126460908,1979
"449","x3PAVG",0.0466130736040237,1980
"450","x2PAVG",0.506489226168507,1980
"451","xFTAVG",0.352241530404891,1980
"452","ASTtTOV",0.0853415531536392,1980
"453","SPBtPFR",0.256423137073783,1980
"454","TS",0.645529869177846,1980
"455","FTr",0.357039173593361,1980
"456","PTS",0.375898467302424,1980
"457","TRB",0.304921033533859,1980
"458","AST",0.259602890154552,1980
"459","STL",0.303806018805374,1980
"460","BLK",0.207660371670673,1980
"461","PER",0.399950142611471,1980
"462","WS",0.400324337943461,1980
"463","OWS",0.353455259976531,1980
"464","DWS",0.343159736940508,1980
"465","x3PAVG",0.0149766314288343,1981
"466","x2PAVG",0.561336898403729,1981
"467","xFTAVG",0.235027613901148,1981
"468","ASTtTOV",0.141914265821615,1981
"469","SPBtPFR",0.293875090026338,1981
"470","TS",0.671052518585259,1981
"471","FTr",0.269490069620688,1981
"472","PTS",0.379382504125991,1981
"473","TRB",0.310357337522788,1981
"474","AST",0.244859752174567,1981
"475","STL",0.294431387434844,1981
"476","BLK",0.219741072806622,1981
"477","PER",0.39406362940357,1981
"478","WS",0.405228102614297,1981
"479","OWS",0.358669901049138,1981
"480","DWS",0.341577081056618,1981
"481","x3PAVG",0.0425805449787369,1982
"482","x2PAVG",0.631105889901151,1982
"483","xFTAVG",0.100984592376992,1982
"484","ASTtTOV",0.3473813781214,1982
"485","SPBtPFR",0.186819958396673,1982
"486","TS",0.617619524220751,1982
"487","FTr",0.229488495581626,1982
"488","PTS",0.378421555520325,1982
"489","TRB",0.316385112337871,1982
"490","AST",0.250624189059578,1982
"491","STL",0.297073863970843,1982
"492","BLK",0.208067087462836,1982
"493","PER",0.398676651068241,1982
"494","WS",0.406459177368973,1982
"495","OWS",0.360443087028706,1982
"496","DWS",0.329042482615379,1982
"497","x3PAVG",0.113371065817827,1983
"498","x2PAVG",0.53260899217054,1983
"499","xFTAVG",0.0757111439138402,1983
"500","ASTtTOV",0.349831947366651,1983
"501","SPBtPFR",0.0224605876845393,1983
"502","TS",0.584339273542822,1983
"503","FTr",0.483118235610744,1983
"504","PTS",0.38491670709146,1983
"505","TRB",0.315026401504677,1983
"506","AST",0.255319436969762,1983
"507","STL",0.301206227369289,1983
"508","BLK",0.20324554838396,1983
"509","PER",0.39823624269321,1983
"510","WS",0.402780994642027,1983
"511","OWS",0.354999851138937,1983
"512","DWS",0.329432856240078,1983
"513","x3PAVG",0.064796163913044,1984
"514","x2PAVG",0.657838704398025,1984
"515","xFTAVG",0.221418577181766,1984
"516","ASTtTOV",0.144990518702104,1984
"517","SPBtPFR",0.0555806595717977,1984
"518","TS",0.69735404809299,1984
"519","FTr",0.060078125746922,1984
"520","PTS",0.379302875763915,1984
"521","TRB",0.313394614562361,1984
"522","AST",0.24646141816536,1984
"523","STL",0.291353616302389,1984
"524","BLK",0.203639183686046,1984
"525","PER",0.40211979407662,1984
"526","WS",0.400948656335176,1984
"527","OWS",0.357324999069994,1984
"528","DWS",0.347379846459284,1984
"529","x3PAVG",0.0954908328814437,1985
"530","x2PAVG",0.496934643358861,1985
"531","xFTAVG",0.00618486141828911,1985
"532","ASTtTOV",0.341148966704796,1985
"533","SPBtPFR",0.319493390608758,1985
"534","TS",0.520570449901314,1985
"535","FTr",0.504427369516921,1985
"536","PTS",0.377310239735277,1985
"537","TRB",0.309967207090058,1985
"538","AST",0.258429845712503,1985
"539","STL",0.295597291036257,1985
"540","BLK",0.194488634532763,1985
"541","PER",0.394079596370668,1985
"542","WS",0.398676142448585,1985
"543","OWS",0.35764661465788,1985
"544","DWS",0.356952721133657,1985
"545","x3PAVG",0.0852734210225962,1986
"546","x2PAVG",0.581343448726364,1986
"547","xFTAVG",0.0297785311513642,1986
"548","ASTtTOV",0.0984299004054897,1986
"549","SPBtPFR",0.282824800579683,1986
"550","TS",0.602223437313742,1986
"551","FTr",0.448921035156247,1986
"552","PTS",0.381311676589377,1986
"553","TRB",0.303727180412238,1986
"554","AST",0.270939517657216,1986
"555","STL",0.308360048955543,1986
"556","BLK",0.182112109339773,1986
"557","PER",0.39073081649711,1986
"558","WS",0.405665969857582,1986
"559","OWS",0.355035682458719,1986
"560","DWS",0.342646256228111,1986
"561","x3PAVG",0.0723152110320894,1987
"562","x2PAVG",0.532822643614863,1987
"563","xFTAVG",0.24308874815547,1987
"564","ASTtTOV",0.0880596049500128,1987
"565","SPBtPFR",0.144628693920935,1987
"566","TS",0.622036679250758,1987
"567","FTr",0.485980264786876,1987
"568","PTS",0.371848282481842,1987
"569","TRB",0.308999496123889,1987
"570","AST",0.252750035407809,1987
"571","STL",0.302537682876366,1987
"572","BLK",0.210728749815348,1987
"573","PER",0.393504339595684,1987
"574","WS",0.395832936173482,1987
"575","OWS",0.356467850040996,1987
"576","DWS",0.357534926265522,1987
"577","x3PAVG",0.181637346639749,1988
"578","x2PAVG",0.518773163765888,1988
"579","xFTAVG",0.26950248563058,1988
"580","ASTtTOV",0.0352059579458746,1988
"581","SPBtPFR",0.1223557110307,1988
"582","TS",0.646454153050848,1988
"583","FTr",0.437192563531836,1988
"584","PTS",0.371647182763892,1988
"585","TRB",0.301893200646475,1988
"586","AST",0.262655118047837,1988
"587","STL",0.315616348283316,1988
"588","BLK",0.178264322869578,1988
"589","PER",0.400342257644801,1988
"590","WS",0.397147544470227,1988
"591","OWS",0.355176479535216,1988
"592","DWS",0.355258892708718,1988
"593","x3PAVG",0.152530085484246,1989
"594","x2PAVG",0.541017821368312,1989
"595","xFTAVG",0.464635812065995,1989
"596","ASTtTOV",0.151283691599618,1989
"597","SPBtPFR",0.0556194685886617,1989
"598","TS",0.633588583224793,1989
"599","FTr",0.201824375898786,1989
"600","PTS",0.3675932347103,1989
"601","TRB",0.31496719357785,1989
"602","AST",0.259046861744905,1989
"603","STL",0.326953715602246,1989
"604","BLK",0.184645641960267,1989
"605","PER",0.38722347085036,1989
"606","WS",0.389379510519005,1989
"607","OWS",0.354560007318755,1989
"608","DWS",0.360973185381821,1989
"609","x3PAVG",0.350246982761569,1990
"610","x2PAVG",0.447087679701723,1990
"611","xFTAVG",0.51384354357768,1990
"612","ASTtTOV",0.225425451084823,1990
"613","SPBtPFR",0.193052064853978,1990
"614","TS",0.563947811032577,1990
"615","FTr",0.0853323100546615,1990
"616","PTS",0.371920189146074,1990
"617","TRB",0.319321248993292,1990
"618","AST",0.257088076372933,1990
"619","STL",0.322691380353005,1990
"620","BLK",0.203183684734272,1990
"621","PER",0.38782105105993,1990
"622","WS",0.389434985689871,1990
"623","OWS",0.347341388976585,1990
"624","DWS",0.35424692082892,1990
"625","x3PAVG",0.322161384449649,1991
"626","x2PAVG",0.492811366100464,1991
"627","xFTAVG",0.436564652272428,1991
"628","ASTtTOV",0.1800600213168,1991
"629","SPBtPFR",0.102115931720614,1991
"630","TS",0.593518552120833,1991
"631","FTr",0.260089903107652,1991
"632","PTS",0.374175777550951,1991
"633","TRB",0.29632550091013,1991
"634","AST",0.271095041332645,1991
"635","STL",0.336224872631664,1991
"636","BLK",0.190883730103254,1991
"637","PER",0.385386944457607,1991
