"","Player","Yr","PTS","TRB","AST","G","MP","3P","3PA","3P%","2P","2PA","2P%","PER","WS","OWS","DWS","TS%","FTr"
"213","Ricky Pierce",1986,"1127","231","177","81","2147","3","23","0.13","426","775","0.55","16.6","8.3","5.7","2.6","0.603","0.388"
"214","Ed Pinckney",1986,"681","308","90","80","1602","0","2","0","255","455","0.56","12.8","2.7","0.8","1.8","0.599","0.556"
"215","Charles Pittman",1986,"353","246","58","69","1132","0","0","0","127","218","0.583","10.3","1.5","0.4","1.1","0.63","0.647"
"216","David Pope",1986,"21","11","4","11","74","1","1","1","8","19","0.421","9.2","0.1","0.1","0.1","0.483","0.2"
"217","Ben Poquette",1986,"406","373","78","81","1496","2","10","0.2","164","338","0.485","10.4","2.3","0.9","1.4","0.518","0.287"
"218","Terry Porter",1986,"562","117","198","79","1214","13","42","0.31","199","405","0.491","14.8","2.3","1.2","1.1","0.545","0.347"
"219","Paul Pressey",1986,"1146","399","623","80","2704","8","44","0.182","403","799","0.504","18.6","9.8","5.1","4.7","0.564","0.465"
"220","Kurt Rambis",1986,"408","517","69","74","1573","0","0","0","160","269","0.595","12.7","4.3","1.7","2.6","0.632","0.454"
"221","Kelvin Ransey",1986,"586","116","252","79","1504","3","24","0.125","228","481","0.474","11.8","2","0.9","1.1","0.514","0.293"
"222","Blair Rasmussen",1986,"153","97","16","48","330","0","0","0","61","150","0.407","8.7","-0.1","-0.5","0.4","0.458","0.26"
"223","Robert Reid",1986,"986","301","222","82","2157","6","33","0.182","403","848","0.475","13.7","4.4","2.5","1.9","0.506","0.243"
"224","Jerry Reynolds",1986,"203","80","86","55","508","1","2","0.5","71","160","0.444","15.2","1","0","1","0.489","0.642"
"225","Clint Richardson",1986,"794","251","372","82","2224","1","9","0.111","334","727","0.459","12.2","3.1","1.2","1.9","0.496","0.2"
"226","Micheal Ray Richardson",1986,"737","250","340","47","1604","4","27","0.148","292","634","0.461","16.9","3.3","1","2.3","0.498","0.271"
"227","Doc Rivers",1986,"612","162","443","53","1571","0","16","0","220","448","0.491","17.4","4.2","1.9","2.2","0.52","0.61"
"228","Fred Roberts",1986,"216","80","27","58","469","1","2","0.5","73","165","0.442","9.1","0.2","-0.3","0.5","0.526","0.521"
"229","Alvin Robertson",1986,"1392","516","448","82","2878","8","29","0.276","554","1064","0.521","19.5","8.6","4","4.6","0.563","0.299"
"230","Rick Robey",1986,"177","148","58","46","629","0","3","0","72","188","0.383","5.7","-0.6","-1.2","0.7","0.417","0.251"
"231","Cliff Robinson",1986,"1460","680","186","78","2563","1","4","0.25","594","1251","0.475","18.3","5.6","1.5","4.1","0.518","0.281"
"232","Tree Rollins",1986,"415","458","41","74","1781","0","1","0","173","346","0.5","11","3.4","0.5","3","0.537","0.259"
"233","Dan Roundfield",1986,"917","642","167","79","2321","0","6","0","322","654","0.492","14.7","5.1","2.1","3.1","0.56","0.548"
"234","Derrick Rowland",1986,"3","1","1","2","9","0","0","0","1","3","0.333","7","0","0","0","0.387","0.667"
"235","Jeff Ruland",1986,"569","320","159","30","1114","0","4","0","212","379","0.559","20","3.5","1.9","1.6","0.604","0.522"
"236","Walker Russell",1986,"0","0","1","1","2","0","0","0","0","1","0","-0.8","0","0","0","0","0"
"237","Ralph Sampson*",1986,"1491","879","283","79","2864","2","15","0.133","622","1265","0.492","16.9","5","1.1","4","0.516","0.294"
"238","Mike Sanders",1986,"905","273","150","82","1644","3","15","0.2","344","661","0.52","16","3.9","2.2","1.7","0.573","0.38"
"239","Danny Schayes",1986,"658","439","79","80","1654","0","1","0","221","439","0.503","13.4","4.6","2.4","2.2","0.585","0.632"
"240","Detlef Schrempf",1986,"397","198","88","64","969","3","7","0.429","139","308","0.451","10.9","0.8","0.3","0.5","0.52","0.483"
"241","Byron Scott",1986,"1174","189","164","76","2190","22","61","0.361","485","928","0.523","15","5.2","3.2","2","0.55","0.178"
"242","Carey Scurry",1986,"363","242","85","78","1168","1","11","0.091","141","290","0.486","11.9","1.8","-0.4","2.1","0.509","0.419"
"243","Lonnie Shelton",1986,"198","143","61","44","682","0","2","0","92","186","0.495","8.5","0.5","-0.1","0.6","0.508","0.085"
"244","Purvis Short",1986,"1632","329","237","64","2427","15","49","0.306","618","1264","0.489","19.1","5.7","4.9","0.9","0.547","0.309"
"245","Jerry Sichting",1986,"537","104","188","82","1596","6","16","0.375","229","396","0.578","11.9","4.2","2.4","1.8","0.609","0.16"
"246","Jack Sikma*",1986,"1371","748","301","80","2790","0","13","0","508","1087","0.467","17.6","7.8","3.4","4.4","0.535","0.374"
"247","Derek Smith",1986,"259","41","31","11","339","1","2","0.5","99","179","0.553","21.8","0.8","0.7","0.1","0.594","0.464"
"248","Larry Smith",1986,"740","856","95","77","2441","0","1","0","314","585","0.537","13.4","4.3","2.7","1.6","0.539","0.387"
"249","Mike Smrek",1986,"108","110","19","38","408","0","2","0","46","120","0.383","6.5","-0.2","-0.5","0.2","0.401","0.238"
"250","Ricky Sobers",1986,"603","99","180","78","1279","13","43","0.302","227","498","0.456","13.4","2.2","1.1","1.1","0.506","0.231"
"251","Rory Sparrow",1986,"796","170","472","74","2344","5","20","0.25","340","703","0.484","13","3.7","1.5","2.2","0.511","0.176"
"252","Larry Spriggs",1986,"214","81","49","43","471","0","1","0","88","191","0.461","10.5","0.3","-0.3","0.6","0.501","0.255"
"253","Terence Stansbury",1986,"498","139","206","74","1331","9","53","0.17","182","388","0.469","9.5","0.6","-0.9","1.5","0.499","0.299"
"254","Steve Stipanovich",1986,"1076","623","206","79","2397","2","10","0.2","414","875","0.473","15.9","5.9","2.5","3.4","0.526","0.356"
"255","Alex Stivrins",1986,"3","3","1","3","14","0","0","0","1","4","0.25","-5.9","-0.1","-0.1","0","0.26","1"
"256","John Stockton*",1986,"630","179","610","82","1935","2","15","0.133","226","451","0.501","17","5.9","2.9","2.9","0.566","0.44"
"257","Greg Stokes",1986,"126","57","17","31","350","0","1","0","56","118","0.475","10.6","0.5","0.1","0.4","0.491","0.176"
"258","Jon Sundvold",1986,"500","80","261","70","1150","21","60","0.35","199","416","0.478","13.4","1.5","1","0.5","0.503","0.101"
"259","Terry Teagle",1986,"1165","235","115","82","2158","4","25","0.16","471","933","0.505","14.2","3.1","2.5","0.6","0.542","0.277"
