"","Player","PC1","PC2","allstar"
"55","Elton Brand",1.83127762512994,5.74546803361587,0
"56","Ronnie Brewer",0.680278007083075,-1.25685074622476,0
"57",NA,-0.56252651786475,-1.50044570014014,0
"58","Andre Brown",0.729486433327683,-2.2946242633489,0
"59","Dee Brown",-1.22792245742779,-2.02719193280101,0
"60","Devin Brown",0.00310733321558928,0.994442347590633,0
"61","Kwame Brown",1.68177140300394,0.364251078710676,0
"62","P.J. Brown",-1.09410913707835,-0.260644223645321,0
"63","Shannon Brown",-0.952669927535807,-2.17553374478795,0
"64","Kobe Bryant",0.691130527312406,6.87105447301396,1
"65","Greg Buckner",-0.578115851783004,-1.01818872324408,0
"66","Pat Burke",-1.24013521443834,-2.13631302534242,0
"67","Caron Butler",-0.352593972946047,3.08774245415454,1
"68","Jackie Butler",-0.0441478472620844,-1.83830843498338,0
"69","Rasual Butler",-0.527445863675492,-0.0737110591110679,0
"70","Andrew Bynum",1.38523418937503,0.745806817267185,0
"71",NA,1.14370997412323,1.30882270081652,0
"72","Marcus Camby",-0.0751560299864993,4.13846073341853,0
"73","Brian Cardinal",1.66403885440935,-1.13055024702907,0
"74","Rodney Carney",0.0278306362518891,-1.19051974930416,0
"75","Matt Carroll",1.02749252493306,0.766019658352111,0
"76","Anthony Carter",-2.42925564292533,-2.64913037010194,0
"77","Vince Carter",0.544487837153887,5.36259940799961,1
"78","Sam Cassell",-1.08426759584262,0.790898672605692,0
"79","Kelvin Cato",-0.939208885393672,-2.25826875942739,0
"80","Tyson Chandler",2.40804844296066,3.52979219111838,0
"81","Josh Childress",1.19095981628722,2.29618784914733,0
"82","Doug Christie",-2.11258696851747,-2.29747314873732,0
"83","Speedy Claxton",-2.90936772962751,-1.56815884786804,0
"84","Jarron Collins",-0.121384945321663,-1.63862900896892,0
"85","Jason Collins",-0.791315740373628,-1.50900150340838,0
"86","Mardy Collins",-1.1298619250579,-1.76325795346923,0
"87","Nick Collison",0.496371745859468,1.39492041684738,0
"88","Will Conroy",-3.41957272545088,-2.78992679419224,0
"89","Brian Cook",0.250911093404779,-0.729903074064706,0
"90","Jamal Crawford",-1.36877412033154,1.39994836289727,0
"91","Austin Croshere",-1.0760519353688,-1.25601975338158,0
"92","Eddy Curry",2.84923577885835,2.22806007854245,0
"93","Samuel Dalembert",1.32832428842648,2.35588659082562,0
"94","Erick Dampier",2.20109822983856,1.70746359143438,0
"95","Antonio Daniels",0.401325975801332,0.370326338729647,0
"96","Marquis Daniels",-0.31264482747589,-1.31900965549619,0
"97","Baron Davis",-0.64553061964175,3.93277675992482,0
"98","Dale Davis",-0.208259786830683,-1.35439826951536,0
"99","Paul Davis",-0.614344684502093,-2.24845661648581,0
"100","Ricky Davis",1.11781432037487,2.59376839183979,0
"101","Carlos Delfino",-0.235725028941272,-0.398958859322723,0
"102","Luol Deng",1.17399158479616,4.96905823558802,0
"103","Boris Diaw",1.21481827071645,1.44676206252315,0
"104","Yakhouba Diawara",-1.40351647324696,-1.71310637671209,0
"105","Dan Dickau",-0.825324916704553,-1.92688724780096,0
"106","Travis Diener",0.49324696167336,-1.54607286316937,0
"107","Ike Diogu",0.463091638314776,-0.96572897078042,0
"108","DeSagana Diop",0.0898469819049132,-0.0467207649372643,0
"109","Juan Dixon",-0.320651871891258,-0.504755580329013,0
"110","Michael Doleac",-0.0357623630052362,-1.36981692289266,0
"111","Keyon Dooling",-0.693541458703259,-0.605101224514723,0
"112","Quincy Douby",-1.0849529646569,-2.34030028552725,0
"113","Chris Duhon",-0.000928766376807208,0.907547293277508,0
"114","Tim Duncan",2.08569950235265,6.70894489617246,1
"115","Mike Dunleavy",0.0180234379896829,1.78491821537674,0
"116","Ronald Dupree",-1.4230682012573,-2.4555360438053,0
"117","Monta Ellis",0.161207156137749,1.67646985866277,0
"118","Francisco Elson",0.493478184667544,0.013303444814212,0
"119","Melvin Ely",-0.838467550336859,-2.39578946146893,0
"120","Maurice Evans",-0.12685633029564,-0.385625550922827,0
"121","Reggie Evans",0.968818072333623,-0.0627236722721881,0
"122","Daniel Ewing",-0.349555099116432,-1.82080936729651,0
"123","Jordan Farmar",-0.175639424214217,-1.35766198888318,0
"124","Desmon Farmer",-1.23887038772318,-2.50635677358432,0
