"","Yr","Player","allstar"
"958",1991,"Magic Johnson",1
"959",1991,"Karl Malone",1
"960",1991,"Chris Mullin",1
"961",1991,"Terry Porter",1
"962",1991,"David Robinson",1
"963",1991,"John Stockton",1
"964",1991,"James Worthy",1
"965",1992,"Michael Adams",1
"966",1992,"Charles Barkley",1
"967",1992,"Larry Bird",1
"968",1992,"Brad Daugherty",1
"969",1992,"Joe Dumars",1
"970",1992,"Patrick Ewing",1
"971",1992,"Michael Jordan",1
"972",1992,"Reggie Lewis",1
"973",1992,"Scottie Pippen",1
"974",1992,"Mark Price",1
"975",1992,"Dennis Rodman",1
"976",1992,"Isiah Thomas",1
"977",1992,"Dominique Wilkins",1
"978",1992,"Kevin Willis",1
"979",1992,"Clyde Drexler",1
"980",1992,"Tim Hardaway",1
"981",1992,"Jeff Hornacek",1
"982",1992,"Magic Johnson",1
"983",1992,"Dan Majerle",1
"984",1992,"Karl Malone",1
"985",1992,"Chris Mullin",1
"986",1992,"Dikembe Mutombo",1
"987",1992,"Hakeem Olajuwon",1
"988",1992,"David Robinson",1
"989",1992,"John Stockton",1
"990",1992,"Otis Thorpe",1
"991",1992,"James Worthy",1
"992",1993,"Brad Daugherty",1
"993",1993,"Joe Dumars",1
"994",1993,"Patrick Ewing",1
"995",1993,"Larry Johnson (2)",1
"996",1993,"Michael Jordan",1
"997",1993,"Larry Nance",1
"998",1993,"Shaquille O'Neal",1
"999",1993,"Scottie Pippen",1
"1000",1993,"Mark Price",1
"1001",1993,"Detlef Schrempf",1
"1002",1993,"Isiah Thomas",1
"1003",1993,"Dominique Wilkins",1
"1004",1993,"Charles Barkley",1
"1005",1993,"Clyde Drexler",1
"1006",1993,"Sean Elliott",1
"1007",1993,"Tim Hardaway",1
"1008",1993,"Shawn Kemp",1
"1009",1993,"Dan Majerle",1
"1010",1993,"Karl Malone",1
"1011",1993,"Danny Manning",1
"1012",1993,"Chris Mullin",1
"1013",1993,"Hakeem Olajuwon",1
"1014",1993,"Terry Porter",1
"1015",1993,"Mitch Richmond",1
"1016",1993,"David Robinson",1
"1017",1993,"John Stockton",1
"1018",1994,"Kenny Anderson",1
"1019",1994,"B.J. Armstrong",1
"1020",1994,"Mookie Blaylock",1
"1021",1994,"Derrick Coleman",1
"1022",1994,"Patrick Ewing",1
"1023",1994,"Horace Grant",1
"1024",1994,"Alonzo Mourning",1
"1025",1994,"Charles Oakley",1
"1026",1994,"Shaquille O'Neal",1
"1027",1994,"Scottie Pippen",1
"1028",1994,"Mark Price",1
"1029",1994,"John Starks",1
"1030",1994,"Dominique Wilkins",1
"1031",1994,"Charles Barkley",1
"1032",1994,"Clyde Drexler",1
"1033",1994,"Kevin Johnson",1
"1034",1994,"Shawn Kemp",1
"1035",1994,"Karl Malone",1
"1036",1994,"Danny Manning",1
"1037",1994,"Hakeem Olajuwon",1
"1038",1994,"Gary Payton",1
"1039",1994,"Mitch Richmond",1
"1040",1994,"Clifford Robinson",1
"1041",1994,"David Robinson",1
"1042",1994,"Latrell Sprewell",1
"1043",1994,"John Stockton",1
"1044",1995,"Vin Baker",1
"1045",1995,"Dana Barros",1
"1046",1995,"Joe Dumars",1
"1047",1995,"Patrick Ewing",1
"1048",1995,"Anfernee Hardaway",1
"1049",1995,"Grant Hill",1
"1050",1995,"Tyrone Hill",1
"1051",1995,"Larry Johnson (2)",1
"1052",1995,"Reggie Miller",1
"1053",1995,"Alonzo Mourning",1
"1054",1995,"Shaquille O'Neal",1
"1055",1995,"Scottie Pippen",1
"1056",1995,"Charles Barkley",1
"1057",1995,"Cedric Ceballos",1
"1058",1995,"Shawn Kemp",1
"1059",1995,"Dan Majerle",1
"1060",1995,"Karl Malone",1
"1061",1995,"Dikembe Mutombo",1
"1062",1995,"Hakeem Olajuwon",1
"1063",1995,"Gary Payton",1
"1064",1995,"Mitch Richmond",1
"1065",1995,"David Robinson",1
"1066",1995,"Detlef Schrempf",1
"1067",1995,"Latrell Sprewell",1
"1068",1995,"John Stockton",1
"1069",1996,"Vin Baker",1
"1070",1996,"Terrell Brandon",1
"1071",1996,"Patrick Ewing",1
"1072",1996,"Anfernee Hardaway",1
"1073",1996,"Grant Hill",1
"1074",1996,"Juwan Howard",1
"1075",1996,"Michael Jordan",1
"1076",1996,"Reggie Miller",1
"1077",1996,"Alonzo Mourning",1
"1078",1996,"Shaquille O'Neal",1
"1079",1996,"Scottie Pippen",1
"1080",1996,"Glen Rice",1
"1081",1996,"Charles Barkley",1
"1082",1996,"Clyde Drexler",1
"1083",1996,"Sean Elliott",1
"1084",1996,"Shawn Kemp",1
"1085",1996,"Jason Kidd",1
"1086",1996,"Karl Malone",1
"1087",1996,"Dikembe Mutombo",1
"1088",1996,"Hakeem Olajuwon",1
"1089",1996,"Gary Payton",1
"1090",1996,"Mitch Richmond",1
"1091",1996,"David Robinson",1
"1092",1996,"John Stockton",1
"1093",1997,"Vin Baker",1
"1094",1997,"Terrell Brandon",1
"1095",1997,"Joe Dumars",1
"1096",1997,"Patrick Ewing",1
"1097",1997,"Anfernee Hardaway",1
"1098",1997,"Tim Hardaway",1
"1099",1997,"Grant Hill",1
"1100",1997,"Michael Jordan",1
"1101",1997,"Christian Laettner",1
"1102",1997,"Alonzo Mourning",1
"1103",1997,"Dikembe Mutombo",1
"1104",1997,"Scottie Pippen",1
"1105",1997,"Glen Rice",1
"1106",1997,"Chris Webber",1
"1107",1997,"Charles Barkley",1
"1108",1997,"Clyde Drexler",1
"1109",1997,"Kevin Garnett",1
"1110",1997,"Chris Gatling",1
"1111",1997,"Tom Gugliotta",1
"1112",1997,"Eddie Jones",1
"1113",1997,"Shawn Kemp",1
"1114",1997,"Karl Malone",1
"1115",1997,"Hakeem Olajuwon",1
"1116",1997,"Shaquille O'Neal",1
"1117",1997,"Gary Payton",1
"1118",1997,"Mitch Richmond",1
"1119",1997,"Detlef Schrempf",1
"1120",1997,"Latrell Sprewell",1
"1121",1997,"John Stockton",1
